ID_1,LIB_1,AU2010,LIBAU2010,SURF_1,POP2010_1,MEN2010_1,ID_2,LIB_2,DEP,SURF_2,POP2010_2,MEN2010_2,geometry
13002,Marseille-II,003,Marseille-Aix-en-Provence,3.495315,25495.0,12198.7,13002,Marseille-II,13,3.495315,25495.0,12198.7,"POLYGON ((5.345516030792201 43.33626666112757, 5.354778000380378 43.3348144891316, 5.369124520420858 43.31672618190565, 5.37502229116293 43.30159443183818, 5.373616303274699 43.29499203192401, 5.358998619947309 43.29548272949479, 5.363131821962354 43.30853209203211, 5.3601782577366 43.31887432214682, 5.345516030792201 43.33626666112757))"
13003,Marseille-III,003,Marseille-Aix-en-Provence,2.390397,44975.0,18685.11,13003,Marseille-III,13,2.390397,44975.0,18685.11,"POLYGON ((5.369124520420858 43.31672618190565, 5.371579990491392 43.32008292775165, 5.393183652367585 43.31641172833472, 5.390502914225269 43.30939767502607, 5.37502229116293 43.30159443183818, 5.369124520420858 43.31672618190565))"
13004,Marseille-IV,003,Marseille-Aix-en-Provence,2.975531,47911.0,24359.09,13004,Marseille-IV,13,2.975531,47911.0,24359.09,"POLYGON ((5.389077470356052 43.30031255564393, 5.393048748148267 43.30422952470791, 5.390502914225269 43.30939767502607, 5.393183652367585 43.31641172833472, 5.393641789626554 43.31646490007773, 5.410528387995516 43.31498283332422, 5.408969783921681 43.29569459186774, 5.389077470356052 43.30031255564393))"
13005,Marseille-V,003,Marseille-Aix-en-Provence,2.20438,45535.0,25499.88,13005,Marseille-V,13,2.20438,45535.0,25499.88,"POLYGON ((5.385564027835227 43.29429710554005, 5.389077470356052 43.30031255564393, 5.408969783921681 43.29569459186774, 5.413891293371089 43.2916972582235, 5.391944431126448 43.28475969389145, 5.385564027835227 43.29429710554005))"
13006,Marseille-VI,003,Marseille-Aix-en-Provence,1.781726,42133.0,23092.91,13006,Marseille-VI,13,1.781726,42133.0,23092.91,"POLYGON ((5.372145105803972 43.2909654363426, 5.380358148195546 43.29294449383014, 5.38184781746444 43.29590871211996, 5.385564027835227 43.29429710554005, 5.391944431126448 43.28475969389145, 5.388737067464788 43.28314779924885, 5.373816017366859 43.2791931446209, 5.372145105803972 43.2909654363426))"
13007,Marseille-VII,003,Marseille-Aix-en-Provence,3.92858,35904.0,19329.11,13007,Marseille-VII,13,3.92858,35904.0,19329.11,"POLYGON ((5.371008978125611 43.29359118310829, 5.372145105803972 43.2909654363426, 5.373816017366859 43.2791931446209, 5.372029921744809 43.2696115452304, 5.367987157546419 43.26831467860268, 5.347863295416424 43.28221696123515, 5.357269873323883 43.29385596801173, 5.371008978125611 43.29359118310829))"
13001,Marseille-I,003,Marseille-Aix-en-Provence,1.682241,39349.0,19760.96,13001,Marseille-I,13,1.682241,39349.0,19760.96,"POLYGON ((5.371008978125611 43.29359118310829, 5.373616303274699 43.29499203192401, 5.37502229116293 43.30159443183818, 5.390502914225269 43.30939767502607, 5.393048748148267 43.30422952470791, 5.389077470356052 43.30031255564393, 5.385564027835227 43.29429710554005, 5.38184781746444 43.29590871211996, 5.380358148195546 43.29294449383014, 5.372145105803972 43.2909654363426, 5.371008978125611 43.29359118310829))"
13015,Marseille-XV,003,Marseille-Aix-en-Provence,17.03616,79300.0,28667.47,13015,Marseille-XV,13,17.03616,79300.0,28667.47,"POLYGON ((5.332278900932961 43.37144556465974, 5.337395902067063 43.37652786065883, 5.353825557470062 43.37670271616267, 5.350373341049701 43.38250241405356, 5.371479018832495 43.38860323165603, 5.377116257296262 43.38378099698502, 5.377976929349733 43.37055922848777, 5.391623649808713 43.37207615969766, 5.3959798426057 43.37062056713048, 5.39446035571982 43.36730582961508, 5.380365679175259 43.35821185484226, 5.376049703868341 43.3414861200423, 5.368641461937557 43.33705849098687, 5.371579990491392 43.32008292775165, 5.369124520420858 43.31672618190565, 5.354778000380378 43.3348144891316, 5.345516030792201 43.33626666112757, 5.337729855273533 43.3394772959638, 5.345953889526394 43.34216969676299, 5.351362664475785 43.35475126983334, 5.346792456754091 43.36427369550829, 5.332278900932961 43.37144556465974))"
13014,Marseille-XIV,003,Marseille-Aix-en-Provence,16.114347,60070.0,23111.54,13014,Marseille-XIV,13,16.114347,60070.0,23111.54,"POLYGON ((5.368641461937557 43.33705849098687, 5.376049703868341 43.3414861200423, 5.380365679175259 43.35821185484226, 5.39446035571982 43.36730582961508, 5.3959798426057 43.37062056713048, 5.391623649808713 43.37207615969766, 5.41516859337397 43.37866382897542, 5.414895585116542 43.35126327591581, 5.407947081957346 43.33460662643645, 5.393641789626554 43.31646490007773, 5.393183652367585 43.31641172833472, 5.371579990491392 43.32008292775165, 5.368641461937557 43.33705849098687))"
13012,Marseille-XII,003,Marseille-Aix-en-Provence,13.835717,59561.0,25623.9,13012,Marseille-XII,13,13.835717,59561.0,25623.9,"POLYGON ((5.408969783921681 43.29569459186774, 5.410528387995516 43.31498283332422, 5.431502291649669 43.32276613254549, 5.459660772977949 43.3185111349016, 5.466645852376809 43.32300446152512, 5.475103783360107 43.31472960714548, 5.473581291006676 43.30134525479292, 5.436664854627004 43.29560465098923, 5.427576600719821 43.29338798865076, 5.425801881540987 43.29014293984493, 5.413891293371089 43.2916972582235, 5.408969783921681 43.29569459186774))"
