ID_1,LIB_1,AU2010,LIBAU2010,SURF_1,POP2010_1,MEN2010_1,ID_2,LIB_2,DEP,SURF_2,POP2010_2,MEN2010_2,geometry
31310,Montesquieu-Volvestre,004,Toulouse,220.168402,7919.0,3301.2814,31310,Montesquieu-Volvestre,31,220.168402,7919.0,3301.2814,"POLYGON ((1.356657214453713 43.2130099761245, 1.327821869797356 43.20455981017915, 1.329602891951857 43.19702008290773, 1.322387468382128 43.19098852726104, 1.31459540275892 43.1899943506855, 1.305721688071436 43.19491144862919, 1.296283082692592 43.18928407848749, 1.276631700309423 43.19554918727641, 1.266350730914356 43.19147981984731, 1.26814203379604 43.19077968954871, 1.253253654847565 43.18379109064836, 1.249383319977876 43.18330581275715, 1.244266722998971 43.18903522788703, 1.230324189850793 43.18738540837543, 1.227735527998287 43.1740007464794, 1.216927728796773 43.16328681431039, 1.217172265215632 43.15657903979168, 1.223737122300604 43.15207236981441, 1.237565054962895 43.14997794694148, 1.255381028380812 43.14794650721883, 1.273871925714216 43.14838796512744, 1.276704494513454 43.14199114530452, 1.30270557376991 43.1225937754941, 1.290165462005203 43.12343871038745, 1.281744082255508 43.11299522227534, 1.278927324395627 43.11026065218262, 1.260736433435774 43.10798930885012, 1.261853920376341 43.09165203124682, 1.245514157147266 43.08807585688522, 1.22357141858513 43.08592575864142, 1.210464130915108 43.1069048578839, 1.213203442869712 43.10923580907436, 1.210751146613189 43.11509617740821, 1.198394048201475 43.12541644833757, 1.174983649516244 43.14097457639335, 1.170807634635642 43.14639172073721, 1.172789996200865 43.15248075922319, 1.183034146219528 43.15693625557417, 1.176424401297228 43.16852930114916, 1.168117923419891 43.16963095932653, 1.167971278893739 43.17618727543734, 1.164036459089604 43.17776700304047, 1.158778534937403 43.19000307815323, 1.142061013512419 43.18980625217746, 1.139634940734611 43.17809513339245, 1.121852501511502 43.18090066595992, 1.105173815439735 43.1762356016829, 1.102336602117997 43.18812575402538, 1.101956459272715 43.20419773155063, 1.108066935627498 43.20651829365408, 1.116540253477446 43.20845719391043, 1.120508242822574 43.21767651551809, 1.133078049316903 43.2208194491739, 1.134046583973511 43.22700839342206, 1.139677138917345 43.2313789548304, 1.155214591232015 43.23379661204288, 1.152789131771708 43.24039502821271, 1.15526857546271 43.24328977628431, 1.167752918069296 43.24782067033311, 1.16412997901569 43.25762100689963, 1.166261745241478 43.26065362028651, 1.177329019103528 43.27043223889731, 1.185588558493877 43.27287542984192, 1.187000389371407 43.28121248968278, 1.208053389345177 43.2750860314726, 1.223102434240832 43.28107510657175, 1.261956567372501 43.27214229978801, 1.265520040610737 43.27401672803355, 1.272388696027602 43.27000644500355, 1.280605776987585 43.27231408785214, 1.294110708080063 43.26492568029698, 1.330480716852421 43.26064374965206, 1.329952786425719 43.25721676258809, 1.318422093179792 43.25115359007792, 1.336706354355102 43.248386484473, 1.348303838719799 43.24313048645779, 1.352581923350706 43.24461788767573, 1.365233063728133 43.24202014413579, 1.373052630900144 43.2448823234432, 1.374902843685106 43.23863911642381, 1.382260866447735 43.23122820688907, 1.379962492410792 43.22234120111664, 1.370191427646856 43.21066818355435, 1.356657214453713 43.2130099761245))"
31550,Cintegabelle,004,Toulouse,123.421042,4197.0,1627.4774,31550,Cintegabelle,31,123.421042,4197.0,1627.4774,"POLYGON ((1.550638224895524 43.34564268916525, 1.558643301009465 43.35285798135121, 1.563737967086792 43.36517109292131, 1.575494345154562 43.36750398939466, 1.609384168809763 43.34050304709552, 1.625550450437466 43.32939064799211, 1.602634634042229 43.3127941788194, 1.608886279769412 43.30394051990554, 1.606978110555781 43.30082086412801, 1.602660262962676 43.29950545780901, 1.59516096382721 43.30344858554319, 1.587942734225285 43.29940395859796, 1.577414443224556 43.28477232038054, 1.578834561601244 43.27511893660699, 1.570249708919606 43.27324264362837, 1.572607188674591 43.26356605514579, 1.569140456718689 43.25736580319145, 1.565411393166999 43.25539111102522, 1.557051377434602 43.26332364534315, 1.54843679463684 43.27449947781808, 1.54538638124989 43.27679709678429, 1.541674067240823 43.27509129244027, 1.541722901053072 43.27608211914675, 1.517627829803524 43.27164242199206, 1.515859112511662 43.28441214954152, 1.515375608193723 43.29076632487237, 1.511636853756225 43.29246045219544, 1.506599493639551 43.28720008012211, 1.496219664108425 43.29276867083132, 1.495032521646976 43.2768905512662, 1.488674701464304 43.26860562108359, 1.492642553586443 43.2628035592825, 1.490936940620796 43.25693145778571, 1.497680586649708 43.25465929422408, 1.504521424372932 43.2495275826682, 1.492446836092033 43.23683563417851, 1.503893542468424 43.23151617487922, 1.503881675402929 43.224866677848, 1.503994328474318 43.22094629363217, 1.487019645391261 43.22650374878094, 1.478648475624569 43.22342580979963, 1.475497375128131 43.21699329059982, 1.468743940067836 43.20956540877852, 1.45205599764549 43.21222437614946, 1.441785103769355 43.21587401381667, 1.431539119779512 43.2181366941313, 1.417138102231369 43.2264727166509, 1.426046572375899 43.25579005389407, 1.402760801832163 43.27654705493552, 1.401943013033692 43.27762314745891, 1.415435697202368 43.27822713038308, 1.42715674403465 43.2882230497007, 1.434348443027914 43.27920405569949, 1.447410262413846 43.27523578615413, 1.456825990346427 43.2827400754885, 1.466322103369866 43.28363062245381, 1.483613527010937 43.3000069512124, 1.480109203863945 43.32032793971413, 1.485128066635334 43.33376775943064, 1.493420237847998 43.33724011479792, 1.512429376945182 43.33716121359396, 1.518777458383968 43.3463086670106, 1.522843366403436 43.34447450454112, 1.531949570058284 43.3465421997626, 1.544539576017205 43.34159278224698, 1.553427030382868 43.34308914672764, 1.550638224895524 43.34564268916525))"
09130,Le  Fossat,004,Toulouse,144.252888,3522.0,1472.8606,09130,Le  Fossat,09,144.252888,3522.0,1472.8606,"POLYGON ((1.487510031831851 43.10681366836216, 1.486019095070424 43.10374298277303, 1.498856972146034 43.09492739352193, 1.49377195052667 43.08936003552792, 1.46808547384523 43.08277276713789, 1.456553164173539 43.07435797609232, 1.454294111171299 43.06839757514644, 1.414439342653292 43.08152792459224, 1.425480896447801 43.09655111708165, 1.404776455775993 43.11059564242968, 1.404963277659349 43.11408005029733, 1.40506719150119 43.11521456469266, 1.402043816328862 43.11662729316505, 1.396766572941674 43.12761469037322, 1.388366569854502 43.12443941487167, 1.365067955280324 43.12401606159476, 1.357294109647952 43.1279288145914, 1.354201031165748 43.13431437429873, 1.335757856889214 43.14132648276789, 1.335165619538624 43.14435825764215, 1.334770617581657 43.15295311092564, 1.338473744344503 43.16647821825958, 1.334208881571463 43.1763089453507, 1.332080436786766 43.17892098068874, 1.316069065970376 43.18375578493045, 1.31459540275892 43.1899943506855, 1.322387468382128 43.19098852726104, 1.329602891951857 43.19702008290773, 1.327821869797356 43.20455981017915, 1.356657214453713 43.2130099761245, 1.370191427646856 43.21066818355435, 1.379962492410792 43.22234120111664, 1.397088618288773 43.2165506192202, 1.409783650347396 43.20672446691052, 1.419106376450529 43.20628558052609, 1.420107492591142 43.21285069059203, 1.431539119779512 43.2181366941313, 1.441785103769355 43.21587401381667, 1.45205599764549 43.21222437614946, 1.468743940067836 43.20956540877852, 1.475497375128131 43.21699329059982, 1.480567466857832 43.20381304823112, 1.494068332085003 43.20111449596568, 1.497282911207292 43.19902697862782, 1.488831468624039 43.19115428810486, 1.479760557521085 43.19104414571092, 1.469062093708843 43.18503680472123, 1.456963494564978 43.17678512147371, 1.455493182807818 43.17111424434021, 1.462537126505172 43.16226402338843, 1.470155242693192 43.15860265459852, 1.474364175794086 43.14536527923548, 1.482328478320028 43.14242782656755, 1.484664001965594 43.129731316845, 1.490262380252787 43.12556368185221, 1.489554257883924 43.12258560741534, 1.487510031831851 43.10681366836216))"
09210,Lézat-sur-Lèze,004,Toulouse,64.458581,3008.0,1250.706,09210,b'L\xe9zat-sur-L\xe8ze',09,64.458581,3008.0,1250.706,"POLYGON ((1.352581923350706 43.24461788767573, 1.348303838719799 43.24313048645779, 1.336706354355102 43.248386484473, 1.318422093179792 43.25115359007792, 1.329952786425719 43.25721676258809, 1.330480716852421 43.26064374965206, 1.294110708080063 43.26492568029698, 1.30123956877617 43.27288340594891, 1.292531278852231 43.28836665539357, 1.30155763533645 43.28756359045383, 1.307485314973582 43.29672610571277, 1.316666821814707 43.29739220303998, 1.323968904189006 43.30940006491715, 1.331294771321646 43.31383284711881, 1.345490864779403 43.31549042486167, 1.373022781305946 43.3101493871306, 1.365686248393796 43.30599910653607, 1.379301244503322 43.28885631929411, 1.401943013033692 43.27762314745891, 1.402760801832163 43.27654705493552, 1.426046572375899 43.25579005389407, 1.417138102231369 43.2264727166509, 1.431539119779512 43.2181366941313, 1.420107492591142 43.21285069059203, 1.419106376450529 43.20628558052609, 1.409783650347396 43.20672446691052, 1.397088618288773 43.2165506192202, 1.379962492410792 43.22234120111664, 1.382260866447735 43.23122820688907, 1.374902843685106 43.23863911642381, 1.373052630900144 43.2448823234432, 1.365233063728133 43.24202014413579, 1.352581923350706 43.24461788767573))"
09350,Daumazan-sur-Arize,004,Toulouse,92.613621,2715.0,1198.3438,09350,Daumazan-sur-Arize,09,92.613621,2715.0,1198.3438,"POLYGON ((1.372613033631864 43.09378631088942, 1.358710097522481 43.09664370116524, 1.334108195348249 43.10815852965185, 1.333926160882599 43.1046566174998, 1.319584998108296 43.09539227280054, 1.319636660521676 43.09237075793807, 1.261853920376341 43.09165203124682, 1.260736433435774 43.10798930885012, 1.278927324395627 43.11026065218262, 1.281744082255508 43.11299522227534, 1.290165462005203 43.12343871038745, 1.30270557376991 43.1225937754941, 1.276704494513454 43.14199114530452, 1.273871925714216 43.14838796512744, 1.255381028380812 43.14794650721883, 1.237565054962895 43.14997794694148, 1.223737122300604 43.15207236981441, 1.217172265215632 43.15657903979168, 1.216927728796773 43.16328681431039, 1.227735527998287 43.1740007464794, 1.230324189850793 43.18738540837543, 1.244266722998971 43.18903522788703, 1.249383319977876 43.18330581275715, 1.253253654847565 43.18379109064836, 1.26814203379604 43.19077968954871, 1.266350730914356 43.19147981984731, 1.276631700309423 43.19554918727641, 1.296283082692592 43.18928407848749, 1.305721688071436 43.19491144862919, 1.31459540275892 43.1899943506855, 1.316069065970376 43.18375578493045, 1.332080436786766 43.17892098068874, 1.334208881571463 43.1763089453507, 1.338473744344503 43.16647821825958, 1.334770617581657 43.15295311092564, 1.335165619538624 43.14435825764215, 1.335757856889214 43.14132648276789, 1.354201031165748 43.13431437429873, 1.357294109647952 43.1279288145914, 1.365067955280324 43.12401606159476, 1.388366569854502 43.12443941487167, 1.396766572941674 43.12761469037322, 1.402043816328862 43.11662729316505, 1.40506719150119 43.11521456469266, 1.404963277659349 43.11408005029733, 1.404776455775993 43.11059564242968, 1.425480896447801 43.09655111708165, 1.414439342653292 43.08152792459224, 1.394733597114263 43.08532901466666, 1.372613033631864 43.09378631088942))"
09700,Saverdun,004,Toulouse,163.845605,7705.0,3196.3323,09700,Saverdun,09,163.845605,7705.0,3196.3323,"POLYGON ((1.729287762328271 43.14876064692034, 1.731814230109048 43.1428358095995, 1.732724040085968 43.13159267698169, 1.720095609344934 43.12724244147187, 1.694913500747558 43.13511810904273, 1.703919200680244 43.15365905961709, 1.700723390474341 43.15913429649716, 1.688807107482223 43.15415106750926, 1.684410499825411 43.13838112606138, 1.67172556763279 43.140348553153, 1.670800144894031 43.14641013161205, 1.664446711072903 43.15550661447282, 1.660418259507682 43.17238794701651, 1.646346887381065 43.17226532327465, 1.623899911074355 43.17707375343939, 1.623225287243718 43.17910749943427, 1.609423429042993 43.17792205757543, 1.592052028131707 43.1825645675823, 1.579031805404288 43.18061166547115, 1.56648444071659 43.18295564528621, 1.554160358213519 43.18119884590393, 1.552128669688851 43.17840145355286, 1.522550559567135 43.19097308806212, 1.516757410222785 43.17905395037052, 1.502184299161699 43.17407551952604, 1.484342105251777 43.17759590470197, 1.469062093708843 43.18503680472123, 1.479760557521085 43.19104414571092, 1.488831468624039 43.19115428810486, 1.497282911207292 43.19902697862782, 1.494068332085003 43.20111449596568, 1.480567466857832 43.20381304823112, 1.475497375128131 43.21699329059982, 1.478648475624569 43.22342580979963, 1.487019645391261 43.22650374878094, 1.503994328474318 43.22094629363217, 1.503881675402929 43.224866677848, 1.503893542468424 43.23151617487922, 1.492446836092033 43.23683563417851, 1.504521424372932 43.2495275826682, 1.497680586649708 43.25465929422408, 1.490936940620796 43.25693145778571, 1.492642553586443 43.2628035592825, 1.488674701464304 43.26860562108359, 1.495032521646976 43.2768905512662, 1.496219664108425 43.29276867083132, 1.506599493639551 43.28720008012211, 1.511636853756225 43.29246045219544, 1.515375608193723 43.29076632487237, 1.515859112511662 43.28441214954152, 1.517627829803524 43.27164242199206, 1.541722901053072 43.27608211914675, 1.541674067240823 43.27509129244027, 1.54538638124989 43.27679709678429, 1.54843679463684 43.27449947781808, 1.557051377434602 43.26332364534315, 1.565411393166999 43.25539111102522, 1.569140456718689 43.25736580319145, 1.572607188674591 43.26356605514579, 1.570249708919606 43.27324264362837, 1.578834561601244 43.27511893660699, 1.582584160916631 43.26887084021967, 1.600931197481035 43.26622103789533, 1.606200340818186 43.26060333936695, 1.637144013780816 43.25400796663786, 1.635081811767034 43.23709531281911, 1.632683163091386 43.23132521707027, 1.631732612295137 43.2138236430911, 1.684639225497861 43.19743411453167, 1.704096791325131 43.18242114002734, 1.709632242292638 43.19000800490729, 1.71177984125444 43.18683988173301, 1.725887523063157 43.18768209137306, 1.73960792002923 43.18429835581436, 1.754844424957458 43.17092769528438, 1.779464505515216 43.16036029471778, 1.776600847456097 43.15752104682783, 1.771843750874513 43.15812425284126, 1.755443745376846 43.16479117536309, 1.732178191147917 43.16151529306079, 1.734772618874221 43.15923387827147, 1.729287762328271 43.14876064692034))"
31190,Auterive,004,Toulouse,159.093022,16128.0,6405.5576,31190,Auterive,31,159.093022,16128.0,6405.5576,"POLYGON ((1.518777458383968 43.3463086670106, 1.512429376945182 43.33716121359396, 1.493420237847998 43.33724011479792, 1.485128066635334 43.33376775943064, 1.480109203863945 43.32032793971413, 1.483613527010937 43.3000069512124, 1.466322103369866 43.28363062245381, 1.456825990346427 43.2827400754885, 1.447410262413846 43.27523578615413, 1.434348443027914 43.27920405569949, 1.42715674403465 43.2882230497007, 1.415435697202368 43.27822713038308, 1.401943013033692 43.27762314745891, 1.379301244503322 43.28885631929411, 1.365686248393796 43.30599910653607, 1.373022781305946 43.3101493871306, 1.374651537750477 43.31574388573517, 1.379134167435568 43.32111058798301, 1.377143968449258 43.33358779382252, 1.36976069221673 43.33706621625962, 1.355922702965953 43.33038722421145, 1.344725546918729 43.33528218343456, 1.354006120419555 43.34182184990148, 1.354953026769993 43.34838656518846, 1.375168565014902 43.35816716967099, 1.383395403138554 43.36691010089169, 1.395287618283816 43.37166689921188, 1.386574865539698 43.37933935370079, 1.388097012289146 43.38926922775367, 1.409145017300014 43.39690482438434, 1.414065125271262 43.40645127082148, 1.440499239422843 43.40653918464545, 1.431557159963386 43.41629883379246, 1.43962360203248 43.42335271708193, 1.44384068820835 43.41803306950484, 1.454284578788983 43.42309537068769, 1.474775767879229 43.41754598565156, 1.477036030899395 43.41469775997064, 1.479694730193728 43.4098499564211, 1.483694404515232 43.41170492706568, 1.496339190626471 43.40723904741975, 1.510038042632011 43.40677095313685, 1.524209304559469 43.39943359393614, 1.538722903580522 43.39160416500413, 1.543732566147085 43.37597114519041, 1.555751394240525 43.37235288944313, 1.563737967086792 43.36517109292131, 1.558643301009465 43.35285798135121, 1.550638224895524 43.34564268916525, 1.553427030382868 43.34308914672764, 1.544539576017205 43.34159278224698, 1.531949570058284 43.3465421997626, 1.522843366403436 43.34447450454112, 1.518777458383968 43.3463086670106))"
31390,Carbonne,004,Toulouse,82.359797,8891.0,3518.6956,31390,Carbonne,31,82.359797,8891.0,3518.6956,"POLYGON ((1.280605776987585 43.27231408785214, 1.272388696027602 43.27000644500355, 1.265520040610737 43.27401672803355, 1.261956567372501 43.27214229978801, 1.223102434240832 43.28107510657175, 1.208053389345177 43.2750860314726, 1.187000389371407 43.28121248968278, 1.185588558493877 43.27287542984192, 1.177329019103528 43.27043223889731, 1.166261745241478 43.26065362028651, 1.152540236919985 43.26352435042099, 1.166535330401633 43.28456603332098, 1.137145741131339 43.29684034567927, 1.133340219133137 43.30252465968444, 1.140288746484366 43.30904173995712, 1.153342207331355 43.31926256898221, 1.159224571180277 43.32416848071519, 1.172055912726344 43.32687829838207, 1.144025173855603 43.33802670306101, 1.130481294619924 43.33710938841418, 1.134568391770167 43.34566622380613, 1.146866079062465 43.35393924618172, 1.153560838112233 43.34975333633907, 1.166670239340374 43.35009277521428, 1.183258185654105 43.34802430209006, 1.191764849532401 43.34139999056031, 1.203823989757471 43.33261139001852, 1.217211105566045 43.34139963963645, 1.230042964279549 43.3422402868292, 1.232251809293721 43.3393697633585, 1.232240750604313 43.33653542584696, 1.260614497799122 43.32439820185952, 1.289072645697456 43.32397934974133, 1.29036146503938 43.32084092092065, 1.290655130511386 43.29348337155123, 1.292531278852231 43.28836665539357, 1.30123956877617 43.27288340594891, 1.294110708080063 43.26492568029698, 1.280605776987585 43.27231408785214))"
31410,Noé,004,Toulouse,119.618996,15020.0,5712.533,31410,b'No\xe9',31,119.618996,15020.0,5712.533,"POLYGON ((1.344725546918729 43.33528218343456, 1.355922702965953 43.33038722421145, 1.36976069221673 43.33706621625962, 1.377143968449258 43.33358779382252, 1.379134167435568 43.32111058798301, 1.374651537750477 43.31574388573517, 1.373022781305946 43.3101493871306, 1.345490864779403 43.31549042486167, 1.331294771321646 43.31383284711881, 1.323968904189006 43.30940006491715, 1.316666821814707 43.29739220303998, 1.307485314973582 43.29672610571277, 1.30155763533645 43.28756359045383, 1.292531278852231 43.28836665539357, 1.290655130511386 43.29348337155123, 1.29036146503938 43.32084092092065, 1.289072645697456 43.32397934974133, 1.260614497799122 43.32439820185952, 1.232240750604313 43.33653542584696, 1.232251809293721 43.3393697633585, 1.230042964279549 43.3422402868292, 1.217211105566045 43.34139963963645, 1.203823989757471 43.33261139001852, 1.191764849532401 43.34139999056031, 1.183258185654105 43.34802430209006, 1.166670239340374 43.35009277521428, 1.172822287257057 43.35908750319448, 1.210101143778892 43.37817488500203, 1.20793174462393 43.38761486435551, 1.218295374753111 43.3940486735643, 1.230796604238837 43.40362122661065, 1.239555678709494 43.40536592007125, 1.243160642781024 43.41828399401737, 1.255819729257587 43.42785637339003, 1.263656688975103 43.43165375384351, 1.272694723871103 43.43127545794338, 1.293435783590598 43.42344237491392, 1.288825754560031 43.41864551478434, 1.300231338131607 43.41409183254669, 1.307174156708901 43.40594077951128, 1.308216096064458 43.39273750212864, 1.316305905964985 43.39037157205559, 1.327537378468676 43.37963976963763, 1.33150240601294 43.37134141862013, 1.32962232438594 43.36557164435927, 1.333436105491361 43.36381318716708, 1.334682766202071 43.35437549702242, 1.354953026769993 43.34838656518846, 1.354006120419555 43.34182184990148, 1.344725546918729 43.33528218343456))"
31560,Nailloux,004,Toulouse,131.020433,7590.0,2933.1729,31560,Nailloux,31,131.020433,7590.0,2933.1729,"POLYGON ((1.704014441967146 43.30281988328691, 1.714527149620072 43.29709721623645, 1.706645613129782 43.2860357774852, 1.701262745540168 43.28169825834713, 1.696747773125171 43.27604802314969, 1.688419233657539 43.27355349726819, 1.67361343846633 43.28134409036244, 1.650596250536182 43.25982680775433, 1.655787152823056 43.25097606450072, 1.655283725552715 43.24410521449724, 1.644398475774672 43.23756380244791, 1.635081811767034 43.23709531281911, 1.637144013780816 43.25400796663786, 1.606200340818186 43.26060333936695, 1.600931197481035 43.26622103789533, 1.582584160916631 43.26887084021967, 1.578834561601244 43.27511893660699, 1.577414443224556 43.28477232038054, 1.587942734225285 43.29940395859796, 1.59516096382721 43.30344858554319, 1.602660262962676 43.29950545780901, 1.606978110555781 43.30082086412801, 1.608886279769412 43.30394051990554, 1.602634634042229 43.3127941788194, 1.625550450437466 43.32939064799211, 1.609384168809763 43.34050304709552, 1.575494345154562 43.36750398939466, 1.563737967086792 43.36517109292131, 1.555751394240525 43.37235288944313, 1.543732566147085 43.37597114519041, 1.538722903580522 43.39160416500413, 1.524209304559469 43.39943359393614, 1.546910434066844 43.42207328976925, 1.541566527312407 43.42740110836667, 1.549578492966299 43.42741784127934, 1.563868912251371 43.42665466734569, 1.571242270886241 43.42508812243677, 1.591735100001056 43.395816489814, 1.598808500213829 43.39217388911626, 1.601772967503338 43.39351679256557, 1.634308840424884 43.37274277877262, 1.648776836309444 43.37378799365941, 1.649008471965561 43.37549168123711, 1.675619135801602 43.36882969020257, 1.678713717850327 43.36244325457871, 1.670665607213736 43.35312246479171, 1.676371602881803 43.34898142223442, 1.668425878863819 43.34337746201519, 1.666753572603896 43.34051382862922, 1.678592088953333 43.33816722565567, 1.684071574750066 43.33357286467753, 1.696522080012362 43.33017939112018, 1.726379205846593 43.33269412008735, 1.724412950157282 43.32966561890374, 1.735952196411684 43.3160181809012, 1.72749063898373 43.3135711408813, 1.704014441967146 43.30281988328691))"
